GrainType,ID,Area,Perimeter,Circularity,IsOutlier
Japonais,0,1986,167.323,0.891406,0
Japonais,1,2082.5,172.803,0.876382,0
Japonais,2,2141.5,175.736,0.871377,0
Japonais,3,2044.5,172.433,0.864089,0
Japonais,4,2118.5,176.452,0.855036,0
Japonais,5,2260.5,181.02,0.866882,0
Japonais,6,2362.5,186.785,0.85094,0
Japonais,7,1797.5,164.723,0.832472,0
Japonais,8,2013.5,171.362,0.861657,0
Japonais,9,2032.5,172.741,0.855948,0
Japonais,10,2023.5,170.057,0.879276,0
Japonais,11,2301.5,182.862,0.864917,0
Japonais,12,1925.5,166.25,0.875446,0
Japonais,13,2243,180.107,0.868913,0
Japonais,14,2159.5,176.557,0.870552,0
Japonais,15,1781,161.983,0.852976,0
Japonais,16,1924.5,166.919,0.867994,0
Japonais,17,2267.5,180.852,0.871188,0
Japonais,18,2074,174.931,0.851698,0
Japonais,19,2229,180.99,0.855092,0
Japonais,20,2148,175.699,0.874387,0
Japonais,21,2083.5,174.49,0.859932,0
Japonais,22,2174.5,175.565,0.886529,0
Japonais,23,2195.5,177.785,0.872872,0
Japonais,24,2087.5,173.679,0.869649,0
Japonais,25,2035,174.012,0.844533,0
Japonais,26,1758.5,162.944,0.832291,0
Japonais,27,2252.5,181.093,0.863122,0
Japonais,28,2020.5,172.099,0.857262,0
Japonais,29,2014,172.497,0.850559,0
Japonais,30,1923,166.543,0.871236,0
Japonais,31,1814.5,166.185,0.825624,0
Japonais,32,2154.5,177.701,0.857387,0
Japonais,33,2151.5,175.568,0.877124,0
Japonais,34,1923.5,165.552,0.88193,0
Japonais,35,1966,169.684,0.858048,0
Japonais,36,1839.5,160.649,0.895685,0
Japonais,37,2181,179.136,0.854078,0
Japonais,38,2114,175.209,0.865373,0
Japonais,39,2105.5,174.818,0.865748,0
Japonais,40,1997,173.65,0.832216,0
Japonais,41,1998.5,171.327,0.855584,0
Japonais,42,2135.5,177.75,0.849361,0
Japonais,43,1952.5,171.6,0.833236,0
Japonais,44,2148,174.359,0.887883,0
Japonais,45,1789,168.791,0.789081,0
Japonais,46,2030.5,173.725,0.845447,0
Japonais,47,2142.5,179.926,0.831651,0
Japonais,48,1777.5,164.517,0.825272,0
Japonais,49,2178.5,177.859,0.865401,0
Japonais,50,1885,164.229,0.878262,0
Japonais,51,2100,175.162,0.860104,0
Japonais,52,2107.5,175.247,0.862333,0
Japonais,53,2299.5,186.681,0.829167,0
Japonais,54,1971,170.151,0.855511,0
Japonais,55,2160.5,177.874,0.858104,0
Japonais,56,2004,168.743,0.884416,0
Japonais,57,2093.5,174.357,0.865376,0
Japonais,58,2088,173.821,0.868431,0
Japonais,59,1870.5,171.624,0.798015,0
Japonais,60,2143,177.528,0.854472,0
Japonais,61,1925.5,167.091,0.866662,0
Japonais,62,1894.5,164.922,0.875277,0
Japonais,63,1930,165.676,0.883582,0
Japonais,64,1883.5,168.754,0.831126,0
Japonais,65,1764.5,158.891,0.87828,0
Japonais,66,2134,176.347,0.862319,0
Japonais,67,2113,175.986,0.85734,0
Japonais,68,2149.5,177.916,0.853326,0
Japonais,69,2009.5,173.466,0.839204,0
Japonais,70,1772,158.126,0.89057,0
Japonais,71,1967.5,173.635,0.820067,0
Japonais,72,2133,175.535,0.869904,0
Japonais,73,2216.5,180.939,0.850771,0
Japonais,74,1889,165.369,0.868025,0
Japonais,75,2175.5,181.445,0.830386,0
Japonais,76,2026.5,172.428,0.856531,0
Japonais,77,2028,174.405,0.837839,0
Japonais,78,2007.5,173.8,0.835148,0
Japonais,79,2069.5,173.774,0.861203,0
Japonais,80,2073.5,169.731,0.904464,0
Japonais,81,1993.5,172.569,0.841202,0
Japonais,82,2084.5,174.016,0.865032,0
Japonais,83,2278,181.421,0.869738,0
Japonais,84,2151.5,174.941,0.883421,0
Japonais,85,1960,167.097,0.882117,0
Japonais,86,2184.5,177.428,0.871998,0
Japonais,87,1955,167.524,0.875393,0
Japonais,88,2112,174.184,0.874761,0
Japonais,89,1895.5,167.078,0.853287,0
Japonais,90,2074,174.621,0.854719,0
Japonais,91,1987,171.31,0.850831,0
Japonais,92,2111,177.065,0.846117,0
Japonais,93,1929.5,168.789,0.851072,0
Japonais,94,2006,174.49,0.827946,0
Japonais,95,2164.5,175.244,0.885687,0
Japonais,96,2012.5,171.869,0.856148,0
Japonais,97,2045.5,174.898,0.840311,0
Japonais,98,1954,169.307,0.856608,0
Japonais,99,2147,175,0.880983,0
Japonais,100,1726,159.645,0.851024,0
Japonais,101,2291,183.66,0.853507,0
Japonais,102,2063,173.875,0.8575,0
Japonais,103,1772.5,164.137,0.826765,0
Japonais,104,2278,183.018,0.854622,0
