Grain_ID,Grid_Area,Polygonal_Area,Ratio
0,2013,1986,1.0136
1,2095,2082.5,1.006
2,2150,2141.5,1.00397
3,2076,2044.5,1.01541
4,2141,2118.5,1.01062
5,2292,2260.5,1.01393
6,2382,2362.5,1.00825
7,1821,1797.5,1.01307
8,2040,2013.5,1.01316
9,2046,2032.5,1.00664
10,2039,2023.5,1.00766
11,2319,2301.5,1.0076
12,1956,1925.5,1.01584
13,2268,2243,1.01115
14,2159,2159.5,0.999768
15,1807,1781,1.0146
16,1941,1924.5,1.00857
17,2287,2267.5,1.0086
18,2090,2074,1.00771
19,2265,2229,1.01615
20,2155,2148,1.00326
21,2109,2083.5,1.01224
22,2190,2174.5,1.00713
23,2222,2195.5,1.01207
24,2078,2087.5,0.995449
25,2053,2035,1.00885
26,1772,1758.5,1.00768
27,2270,2252.5,1.00777
28,2037,2020.5,1.00817
29,2035,2014,1.01043
30,1938,1923,1.0078
31,1856,1814.5,1.02287
32,2183,2154.5,1.01323
33,2176,2151.5,1.01139
34,1931,1923.5,1.0039
35,1981,1966,1.00763
36,1852,1839.5,1.0068
37,2203,2181,1.01009
38,2127,2114,1.00615
39,2135,2105.5,1.01401
40,2015,1997,1.00901
41,2024,1998.5,1.01276
42,2158,2135.5,1.01054
43,1979,1952.5,1.01357
44,2157,2148,1.00419
45,1807,1789,1.01006
46,2058,2030.5,1.01354
47,2171,2142.5,1.0133
48,1789,1777.5,1.00647
49,2193,2178.5,1.00666
50,1895,1885,1.00531
51,2115,2100,1.00714
52,2132,2107.5,1.01163
53,2331,2299.5,1.0137
54,1987,1971,1.00812
55,2192,2160.5,1.01458
56,2020,2004,1.00798
57,2100,2093.5,1.0031
58,2111,2088,1.01102
59,1877,1870.5,1.00348
60,2147,2143,1.00187
61,1942,1925.5,1.00857
62,1908,1894.5,1.00713
63,1947,1930,1.00881
64,1896,1883.5,1.00664
65,1787,1764.5,1.01275
66,2152,2134,1.00843
67,2135,2113,1.01041
68,2159,2149.5,1.00442
69,2028,2009.5,1.00921
70,1790,1772,1.01016
71,2003,1967.5,1.01804
72,2156,2133,1.01078
73,2237,2216.5,1.00925
74,1891,1889,1.00106
75,2210,2175.5,1.01586
76,2047,2026.5,1.01012
77,2051,2028,1.01134
78,2027,2007.5,1.00971
79,2107,2069.5,1.01812
80,2083,2073.5,1.00458
81,2019,1993.5,1.01279
82,2114,2084.5,1.01415
83,2294,2278,1.00702
84,2150,2151.5,0.999303
85,1960,1960,1
86,2198,2184.5,1.00618
87,1989,1955,1.01739
88,2124,2112,1.00568
89,1933,1895.5,1.01978
90,2094,2074,1.00964
91,2018,1987,1.0156
92,2122,2111,1.00521
93,1952,1929.5,1.01166
94,2039,2006,1.01645
95,2187,2164.5,1.0104
96,2019,2012.5,1.00323
97,2057,2045.5,1.00562
98,1964,1954,1.00512
99,2171,2147,1.01118
100,1744,1726,1.01043
101,2313,2291,1.0096
102,2078,2063,1.00727
103,1791,1772.5,1.01044
104,2308,2278,1.01317
105,1798,1784,1.00785
106,2162,2145.5,1.00769
107,2285,2271,1.00616
108,1880,1848,1.01732
109,2200,2171,1.01336
110,2014,2002.5,1.00574
111,2262,2225.5,1.0164
112,2167,2155,1.00557
113,2190,2154.5,1.01648
114,1952,1921.5,1.01587
115,2026,1998.5,1.01376
116,2084,2052.5,1.01535
117,2377,2359.5,1.00742
118,1827,1826.5,1.00027
119,1776,1755.5,1.01168
120,2189,2166,1.01062
121,2087,2049.5,1.0183
122,2107,2105,1.00095
123,2039,2021.5,1.00866
124,2280,2253,1.01198
125,2016,2002.5,1.00674
126,2037,2019,1.00892
127,2024,2004.5,1.00973
128,2031,2002,1.01449
129,1881,1855,1.01402
130,2010,1983,1.01362
131,2158,2146,1.00559
132,2028,2020,1.00396
133,2081,2057,1.01167
134,2258,2220.5,1.01689
135,2113,2097,1.00763
136,2126,2103.5,1.0107
137,2041,2005.5,1.0177
