GrainID,PolygonalArea
0,1986
1,2082.5
2,2141.5
3,2044.5
4,2118.5
5,2260.5
6,2362.5
7,1797.5
8,2013.5
9,2032.5
10,2023.5
11,2301.5
12,1925.5
13,2243
14,2159.5
15,1781
16,1924.5
17,2267.5
18,2074
19,2229
20,2148
21,2083.5
22,2174.5
23,2195.5
24,2087.5
25,2035
26,1758.5
27,2252.5
28,2020.5
29,2014
30,1923
31,1814.5
32,2154.5
33,2151.5
34,1923.5
35,1966
36,1839.5
37,2181
38,2114
39,2105.5
40,1997
41,1998.5
42,2135.5
43,1952.5
44,2148
45,1789
46,2030.5
47,2142.5
48,1777.5
49,2178.5
50,1885
51,2100
52,2107.5
53,2299.5
54,1971
55,2160.5
56,2004
57,2093.5
58,2088
59,1870.5
60,2143
61,1925.5
62,1894.5
63,1930
64,1883.5
65,1764.5
66,2134
67,2113
68,2149.5
69,2009.5
70,1772
71,1967.5
72,2133
73,2216.5
74,1889
75,2175.5
76,2026.5
77,2028
78,2007.5
79,2069.5
80,2073.5
81,1993.5
82,2084.5
83,2278
84,2151.5
85,1960
86,2184.5
87,1955
88,2112
89,1895.5
90,2074
91,1987
92,2111
93,1929.5
94,2006
95,2164.5
96,2012.5
97,2045.5
98,1954
99,2147
100,1726
101,2291
102,2063
103,1772.5
104,2278
105,1784
106,2145.5
107,2271
108,1848
109,2171
110,2002.5
111,2225.5
112,2155
113,2154.5
114,1921.5
115,1998.5
116,2052.5
117,2359.5
118,1826.5
119,1755.5
120,2166
121,2049.5
122,2105
123,2021.5
124,2253
125,2002.5
126,2019
127,2004.5
128,2002
129,1855
130,1983
131,2146
132,2020
133,2057
134,2220.5
135,2097
136,2103.5
137,2005.5
